23 Mar 11:02:11|pUtil.py    | Pilot cleanup has finished
23 Mar 11:02:21|pUtil.py    | Done, using system exit to quit
23 Mar 11:14:05|pUtil.py    | Pilot cleanup has finished
23 Mar 11:14:15|pUtil.py    | Done, using system exit to quit
23 Mar 11:32:31|pUtil.py    | Pilot cleanup has finished
23 Mar 11:32:41|pUtil.py    | Done, using system exit to quit
23 Mar 12:22:57|pUtil.py    | Pilot cleanup has finished
23 Mar 12:23:07|pUtil.py    | Done, using system exit to quit
29 Mar 05:39:50|pUtil.py    | Pilot cleanup has finished
29 Mar 05:40:00|pUtil.py    | Done, using system exit to quit
30 Mar 09:59:50|pUtil.py    | Pilot cleanup has finished
30 Mar 10:00:00|pUtil.py    | Done, using system exit to quit
30 Mar 11:34:48|pUtil.py    | Pilot cleanup has finished
30 Mar 11:34:58|pUtil.py    | Done, using system exit to quit
30 Mar 12:12:35|pUtil.py    | Pilot cleanup has finished
30 Mar 12:12:45|pUtil.py    | Done, using system exit to quit
30 Mar 12:36:00|pUtil.py    | Pilot cleanup has finished
30 Mar 12:36:10|pUtil.py    | Done, using system exit to quit
30 Mar 14:25:00|pUtil.py    | Pilot cleanup has finished
30 Mar 14:25:10|pUtil.py    | Done, using system exit to quit
30 Mar 16:21:14|pUtil.py    | Pilot cleanup has finished
30 Mar 16:21:24|pUtil.py    | Done, using system exit to quit
31 Mar 13:07:49|pUtil.py    | Pilot cleanup has finished
31 Mar 13:07:59|pUtil.py    | Done, using system exit to quit
31 Mar 19:58:36|pUtil.py    | Pilot cleanup has finished
31 Mar 19:58:46|pUtil.py    | Done, using system exit to quit
03 Apr 10:10:14|pUtil.py    | Pilot cleanup has finished
03 Apr 10:10:24|pUtil.py    | Done, using system exit to quit
03 Apr 13:15:36|pUtil.py    | Pilot cleanup has finished
03 Apr 13:15:46|pUtil.py    | Done, using system exit to quit
03 Apr 13:53:21|pUtil.py    | Pilot cleanup has finished
03 Apr 13:53:31|pUtil.py    | Done, using system exit to quit
03 Apr 15:27:16|pUtil.py    | Pilot cleanup has finished
03 Apr 15:27:26|pUtil.py    | Done, using system exit to quit
03 Apr 15:32:33|pUtil.py    | Pilot cleanup has finished
03 Apr 15:32:43|pUtil.py    | Done, using system exit to quit
